case_id,case_length,n_resources,mean_inter_event_minutes,max_inter_event_minutes,n_weekend_events,first_event_hour,last_event_hour,y_late,risk_score,risk_bin,pred_late@0.5
173688,26,5,715.1549866666667,10329.813266666666,16,0,10,0,6.251074768925946e-09,,0
173691,39,5,350.75279692982457,9676.471066666669,16,8,14,0,6.251074768925946e-09,,0
173694,59,10,3405.843681609196,148104.41278333336,8,8,12,1,6.251074768925946e-09,,0
173697,3,1,0.31295,0.6230833333333333,3,8,8,0,6.251074768925946e-09,,0
173700,3,1,0.3428583333333333,0.68225,3,8,8,0,6.251074768925946e-09,,0
173703,9,2,24.597397916666665,111.4679,9,9,13,0,6.251074768925946e-09,,0
173706,14,3,24.186234615384617,176.50671666666668,14,9,15,0,6.251074768925946e-09,,0
173709,12,3,4054.311201515152,31171.91735,8,9,9,1,6.251074768925946e-09,,0
173712,14,4,243.416732051282,2772.496983333333,9,9,14,0,6.251074768925946e-09,,0
173715,24,5,754.1866528985507,10324.9111,16,9,11,0,6.251074768925946e-09,,0
173718,77,10,491.5838655701755,10418.6936,31,10,9,1,6.251074768925946e-09,,0
173721,35,6,390.6155093137255,5742.977,16,11,16,0,6.251074768925946e-09,,0
173724,20,5,164.00543859649122,2656.3523166666664,15,11,15,0,6.251074768925946e-09,,0
173727,3,1,0.3641583333333333,0.7259833333333333,3,12,12,0,6.251074768925946e-09,,0
173730,76,12,381.22945955555554,10108.322066666668,22,12,9,1,6.251074768925946e-09,,0
173733,6,2,27.07436333333333,133.95173333333335,6,12,14,0,6.251074768925946e-09,,0
173736,55,9,452.21573981481487,8674.440733333333,16,13,12,1,6.251074768925946e-09,,0
173739,48,7,402.3393585106384,10046.820116666668,20,13,16,0,6.251074768925946e-09,,0
173742,40,10,483.2805623931624,8894.880133333332,13,13,15,0,6.251074768925946e-09,,0
173745,19,4,555.429238888889,9879.132283333334,19,14,12,0,6.251074768925946e-09,,0
173748,38,5,82.03061306306306,2867.0717,34,14,16,0,6.251074768925946e-09,,0
173751,24,5,616.737875362319,8390.1036,14,14,10,0,6.251074768925946e-09,,0
173754,42,9,456.06182764227657,8797.310633333334,10,14,14,0,6.251074768925946e-09,,0
173757,3,1,0.3132333333333333,0.6231000000000001,3,15,15,0,6.251074768925946e-09,,0
173760,26,5,749.835826,9871.143733333332,14,15,15,0,6.251074768925946e-09,,0
173763,6,2,5.870096666666667,27.09725,6,16,16,0,6.251074768925946e-09,,0
173766,29,7,267.14875,2698.01085,8,16,20,0,6.251074768925946e-09,,0
173769,3,1,0.3041583333333333,0.6061,3,16,16,0,6.251074768925946e-09,,0
173772,3,1,0.293975,0.5862833333333334,3,16,16,0,6.251074768925946e-09,,0
173775,9,2,312.38425624999996,2407.398816666667,4,16,10,0,6.251074768925946e-09,,0
173778,6,2,471.0882133333331,2349.079083333333,3,17,9,0,6.251074768925946e-09,,0
173781,7,2,392.4384666666666,2343.6113333333333,4,18,9,0,6.251074768925946e-09,,0
173784,108,14,602.0996813084113,10260.4332,8,19,12,1,6.251074768925946e-09,,0
173787,35,5,761.9389754901961,10972.2015,4,19,18,1,6.251074768925946e-09,,0
173790,28,5,469.20253950617285,5944.50985,4,19,14,0,6.251074768925946e-09,,0
173793,36,7,685.49785,10243.139983333333,4,19,11,1,6.251074768925946e-09,,0
173796,20,4,672.8810605263158,10446.700066666666,4,20,17,0,6.251074768925946e-09,,0
173799,13,4,350.2438930555555,2223.991666666667,4,20,18,0,6.251074768925946e-09,,0
173802,6,2,438.39746,2188.98045,3,20,9,0,6.251074768925946e-09,,0
173805,41,8,1170.184085,11130.867166666669,4,21,9,1,6.251074768925946e-09,,0
173808,3,1,0.340425,0.6787,3,21,21,0,6.251074768925946e-09,,0
173811,48,5,993.5305273049646,20922.859566666662,5,22,9,1,6.251074768925946e-09,,0
173814,10,3,241.5669148148148,2047.5697,3,23,11,0,6.251074768925946e-09,,0
173817,29,4,480.6544916666667,5968.808733333333,4,0,9,0,6.251074768925946e-09,,0
173820,3,1,0.3604833333333334,0.7180666666666667,3,1,1,0,6.251074768925946e-09,,0
173823,24,4,689.2575253623189,10316.196,4,9,9,0,6.251074768925946e-09,,0
173826,20,4,91.59436666666667,1411.6376166666666,3,9,14,0,6.251074768925946e-09,,0
173829,12,2,129.47990606060608,1402.0253166666666,3,9,9,0,6.251074768925946e-09,,0
173832,3,1,0.3724916666666666,0.7418833333333333,3,9,9,0,6.251074768925946e-09,,0
173835,30,3,802.4921632183908,11139.939916666666,4,10,14,1,6.251074768925946e-09,,0
173838,3,1,0.3464083333333333,0.6913166666666667,3,10,10,0,6.251074768925946e-09,,0
173841,11,2,306.19933333333336,1544.3047666666666,4,10,13,0,6.251074768925946e-09,,0
173844,26,5,527.74852,9897.596233333334,4,11,14,0,6.251074768925946e-09,,0
173847,20,4,756.1003201754386,10290.505333333333,4,11,10,0,6.251074768925946e-09,,0
173850,3,1,0.3316083333333333,0.6594666666666666,3,11,11,0,6.251074768925946e-09,,0
173853,3,1,0.2840833333333333,0.5666333333333333,3,11,11,0,6.251074768925946e-09,,0
173856,8,2,185.87071428571423,1297.73975,3,11,9,0,6.251074768925946e-09,,0
173859,21,3,590.8115158333333,10322.611033333333,3,11,16,0,6.251074768925946e-09,,0
173862,6,2,257.10463666666664,1283.4777,3,12,9,0,6.251074768925946e-09,,0
173865,3,1,0.378625,0.7557333333333334,3,12,12,0,6.251074768925946e-09,,0
173868,28,5,1270.4943104938272,11232.687466666666,4,12,8,1,6.251074768925946e-09,,0
173871,36,6,488.58208952380954,9498.205516666669,4,13,10,0,6.251074768925946e-09,,0
173874,3,1,0.028025,0.04865,3,13,13,0,6.251074768925946e-09,,0
173877,3,1,0.346475,0.69165,3,13,13,0,6.251074768925946e-09,,0
173880,61,14,791.7587724999998,11739.070216666669,3,13,13,1,6.251074768925946e-09,,0
173883,3,1,0.0182916666666666,0.0336999999999999,3,13,13,0,6.251074768925946e-09,,0
173886,3,1,0.3237083333333334,0.6458333333333334,3,13,13,0,6.251074768925946e-09,,0
173889,6,2,226.87233666666663,1131.38135,3,14,9,0,6.251074768925946e-09,,0
173892,3,1,0.3050916666666666,0.6037,3,14,14,0,6.251074768925946e-09,,0
173895,3,1,0.3358166666666667,0.66905,3,16,16,0,6.251074768925946e-09,,0
173898,27,5,618.2750064102564,10190.387966666667,3,16,20,0,6.251074768925946e-09,,0
173901,6,2,208.327,1037.9225666666666,3,16,9,0,6.251074768925946e-09,,0
173904,6,2,200.55545333333333,996.7616166666668,3,16,9,0,6.251074768925946e-09,,0
173907,3,1,0.337275,0.6720166666666666,3,16,16,0,6.251074768925946e-09,,0
173910,3,1,0.3553583333333333,0.7074333333333332,3,17,17,0,6.251074768925946e-09,,0
173913,28,5,530.4822395061728,5916.1645,4,17,16,0,6.251074768925946e-09,,0
173916,10,2,117.05837407407404,1034.13575,3,17,11,0,6.251074768925946e-09,,0
173919,18,6,148.75672647058823,1146.402016666667,3,17,12,0,6.251074768925946e-09,,0
173922,3,1,0.342675,0.6814833333333333,3,17,17,0,6.251074768925946e-09,,0
173925,12,3,100.32869696969696,924.00085,3,18,12,0,6.251074768925946e-09,,0
173928,115,20,727.8731470760234,12738.682316666667,14,18,9,1,6.251074768925946e-09,,0
173931,3,1,0.3175916666666667,0.63265,3,19,19,0,6.251074768925946e-09,,0
173934,6,2,160.81939333333332,798.7937833333333,3,20,9,0,6.251074768925946e-09,,0
173937,32,7,1417.0185134408605,26397.403016666667,6,21,9,1,6.251074768925946e-09,,0
173940,48,6,351.541409929078,9775.690633333334,4,21,8,0,6.251074768925946e-09,,0
