case_id,case_length,n_resources,mean_inter_event_minutes,max_inter_event_minutes,n_weekend_events,first_event_hour,last_event_hour,duration_hours
173688,26,5,715.1549866666667,10329.813266666666,16,0,10,297.9812444444444
173691,39,5,350.75279692982457,9676.471066666667,16,8,14,222.14343805555555
173694,59,10,3405.8436816091958,148104.41278333336,8,8,12,3292.315558888889
173697,3,1,0.31295,0.6230833333333333,3,8,8,0.010431666666666667
173700,3,1,0.3428583333333333,0.68225,3,8,8,0.011428611111111112
173703,9,2,24.597397916666665,111.4679,9,9,13,3.2796530555555554
173706,14,3,24.186234615384617,176.50671666666668,14,9,15,5.240350833333333
173709,12,3,4054.311201515152,31171.91735,8,9,9,743.2903869444444
173712,14,4,243.416732051282,2772.496983333333,9,9,14,52.740291944444444
173715,24,5,754.1866528985507,10324.9111,16,9,11,289.1048836111111
173718,77,10,491.5838655701755,10418.6936,31,10,9,622.672896388889
173721,35,6,390.6155093137255,5742.977,16,11,16,221.3487886111111
173724,20,5,164.00543859649122,2656.3523166666664,15,11,15,51.93505555555556
173727,3,1,0.3641583333333333,0.7259833333333333,3,12,12,0.01213861111111111
173730,76,12,381.22945955555554,10108.322066666668,22,12,9,476.53682444444445
173733,6,2,27.07436333333333,133.95173333333335,6,12,14,2.2561969444444445
173736,55,9,452.21573981481487,8674.440733333333,16,13,12,406.99416583333334
173739,48,7,402.3393585106384,10046.820116666668,20,13,16,315.1658308333333
173742,40,10,483.28056239316237,8894.880133333332,13,13,15,314.13236555555557
173745,19,4,555.429238888889,9879.132283333334,19,14,12,166.62877166666667
173748,38,5,82.03061306306306,2867.0717,34,14,16,50.585544722222224
173751,24,5,616.737875362319,8390.1036,14,14,10,236.41618555555556
173754,42,9,456.06182764227657,8797.310633333334,10,14,14,311.64224888888884
173757,3,1,0.31323333333333336,0.6231000000000001,3,15,15,0.010441111111111111
173760,26,5,749.835826,9871.143733333332,14,15,15,312.4315941666667
173763,6,2,5.870096666666667,27.09725,6,16,16,0.48917472222222225
173766,29,7,267.14875,2698.01085,8,16,20,124.66941666666668
173769,3,1,0.3041583333333333,0.6061,3,16,16,0.010138611111111112
173772,3,1,0.29397500000000004,0.5862833333333334,3,16,16,0.009799166666666666
173775,9,2,312.38425624999996,2407.398816666667,4,16,10,41.65123416666667
173778,6,2,471.08821333333316,2349.079083333333,3,17,9,39.25735111111111
173781,7,2,392.43846666666667,2343.6113333333333,4,18,9,39.24384666666666
173784,108,14,602.0996813084113,10260.4332,8,19,12,1073.7444316666667
173787,35,5,761.9389754901961,10972.2015,4,19,18,431.76541944444443
173790,28,5,469.20253950617285,5944.50985,4,19,14,211.14114277777776
173793,36,7,685.49785,10243.139983333333,4,19,11,399.8737458333334
173796,20,4,672.8810605263158,10446.700066666666,4,20,17,213.0790025
173799,13,4,350.2438930555555,2223.991666666667,4,20,18,70.04877861111112
173802,6,2,438.39745999999997,2188.98045,3,20,9,36.53312166666667
173805,41,8,1170.184085,11130.867166666667,4,21,9,780.1227233333333
173808,3,1,0.340425,0.6787,3,21,21,0.0113475
173811,48,5,993.5305273049646,20922.859566666666,5,22,9,778.2655797222221
173814,10,3,241.5669148148148,2047.5697,3,23,11,36.235037222222225
173817,29,4,480.6544916666667,5968.808733333333,4,0,9,224.30542944444443
173820,3,1,0.3604833333333334,0.7180666666666667,3,1,1,0.012016111111111111
173823,24,4,689.2575253623189,10316.196,4,9,9,264.2153847222222
173826,20,4,91.59436666666667,1411.6376166666666,3,9,14,29.004882777777777
173829,12,2,129.47990606060608,1402.0253166666666,3,9,9,23.737982777777777
173832,3,1,0.37249166666666667,0.7418833333333333,3,9,9,0.012416388888888888
173835,30,3,802.4921632183908,11139.939916666666,4,10,14,387.87121222222225
173838,3,1,0.3464083333333333,0.6913166666666667,3,10,10,0.011546944444444445
173841,11,2,306.19933333333336,1544.3047666666666,4,10,13,51.03322222222222
173844,26,5,527.74852,9897.596233333334,4,11,14,219.89521666666667
173847,20,4,756.1003201754386,10290.505333333333,4,11,10,239.43176805555555
173850,3,1,0.33160833333333334,0.6594666666666666,3,11,11,0.011053611111111111
173853,3,1,0.28408333333333335,0.5666333333333333,3,11,11,0.009469444444444445
173856,8,2,185.87071428571423,1297.73975,3,11,9,21.684916666666666
173859,21,3,590.8115158333333,10322.611033333333,3,11,16,196.93717194444446
173862,6,2,257.10463666666664,1283.4777,3,12,9,21.42538638888889
